,Newspaper,Number of copies sold*
0,Corriere della Sera,232491
1,La Repubblica,187036
2,La Gazzetta dello Sport (monday's edition),148055
3,La Gazzetta dello Sport,135984
4,La Stampa,127180
5,Il Sole 24 Ore,124713
6,Avvenire.it,105240
7,Il Messaggero,88399
8,Il Resto del Carlino,88375
9,Corriere dello Sport  (monday's edition),72361
10,La Nazione,63931
11,Corriere dello Sport,63799
12,Il Gazzettino,49964
13,il Giornale,48744
14,Tuttosport (monday's edition),47594
15,Il Giorno,44882
16,Il Fatto Quotidiano,43334
