,Race,Total,Small,Large,Unknown
0,Accomodation,87,38,9,40
1,Administrative,90,13,23,54
2,Agriculture,4,2,0,2
3,Construction,31,11,13,7
4,Education,382,24,11,347
5,Entertainment,6299,6,6,6287
6,Finance,927,50,64,813
7,Healthcare,466,45,40,381
8,Information,1094,30,37,1027
9,Management,4,1,3,0
10,Manufacturing,352,27,220,105
11,Mining,28,3,6,19
12,Other Services,78,14,5,59
13,Professional,670,54,17,599
14,Public,23399,30,22930,439
15,Real Estate,22,9,5,8
16,Retail,234,58,31,145
17,Trade,34,5,16,13
18,Transportation,112,6,23,83
19,Utilities,23,3,7,13
20,Unknown,7350,0,3558,3792
21,Total,41686,429,27024,14233
