,Response,Share of respondents
0,Fashion,53%
1,Shoes and accessories,39%
2,Smartphones and tablets,35%
3,Home electronics and appliances,35%
4,Toys,35%
5,Video games and games consoles,27%
6,Health and beauty,26%
7,"Sport (gym wear, equipment, water sports, etc.)",20%
8,"Leisure (events, books, music, restaurants, etc.)",18%
9,Home items,14%
10,Food and drink,9%
11,Baby products,9%
12,Travel (flights and hotels),8%
13,Relax products,6%
14,Education,4%
15,Automobile and accessories,4%
16,Bicycles and accessories,4%
17,Motorbikes and accessories,4%
18,Other product or services,3%
