,Year,Inflation rate compared to previous year
0,2024*,3.97%
1,2023*,3.97%
2,2022*,3.97%
3,2021*,3.95%
4,2020*,4.12%
5,2019*,1.85%
6,2018,3.56%
7,2017,3.28%
8,2016,1.61%
9,2015,0.84%
10,2014,3%
11,2013,4.83%
12,2012,3.7%
13,2011,8.46%
14,2010,6.33%
15,2009,1.44%
16,2008,10.64%
17,2007,6.14%
18,2006,7.57%
19,2005,4.19%
20,2004,51.46%
21,2003,27.45%
22,2002,5.22%
23,2001,8.88%
24,2000,7.22%
25,1999,6.97%
26,1998,4.83%
27,1997,8.3%
28,1996,5.4%
29,1995,12.54%
30,1994,8.26%
31,1993,5.25%
32,1992,4.26%
33,1991,47.08%
34,1990,50.46%
35,1989,40.66%
36,1988,43.86%
37,1987,13.55%
38,1986,7.64%
39,1985,45.34%
40,1984,20.15%
