,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,4.9%
2,2022*,4.75%
3,2021*,4.6%
4,2020*,4.62%
5,2019*,3.57%
6,2018,3.73%
7,2017,4.38%
8,2016,2.35%
9,2015,3.68%
10,2014,8.28%
11,2013,9.36%
12,2012,6.9%
13,2011,7.53%
14,2010,12.61%
15,2009,9.58%
16,2008,22.01%
17,2007,9.17%
18,2006,8.92%
19,2005,13.42%
20,2004,14.84%
21,2003,9.94%
22,2002,8.22%
23,2001,9.51%
24,2000,4.59%
25,1999,5.98%
26,1998,8.63%
27,1997,9.66%
28,1996,26.41%
29,1995,19.91%
30,1994,35.06%
31,1993,22.07%
32,1992,77.3%
33,1991,51.07%
34,1990,24.78%
35,1989,16.12%
36,1988,8.2%
37,1987,11.2%
38,1986,24.4%
39,1985,29.7%
40,1984,31.26%
