,Title (release date),Box office revenue in million U.S. dollars
0,Bohemian Rhapsody (2018),213.41
1,The Birdcage (1996),124.06
2,Interview with the Vampire (1994),105.26
3,The Imitation Game (2014),91.13
4,Brokeback Mountain (2005),83.04
5,The Talented Mr. Ripley (1999),81.3
6,Philadelphia (1993),77.45
7,In & Out (1997),63.08
8,The Crying Game (1992),62.55
9,Bruno (2009),60.05
10,The Hours (2002),41.68
11,"Love, Simon (2018)",40.83
12,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",36.47
13,Monster (2003),34.47
14,Alexander (2004),34.3
15,The Favourite (2018),32.33
16,Milk (2008),31.84
17,The Object of My Affection (1998),29.19
18,Rent (2005),29.08
19,Capote (2005),28.75
