,Year,Inhabitants in millions
0,2020,17407585
1,2019,17282163
2,2018,17181084
3,2017,17081507
4,2016,16979120
5,2015,16900726
6,2014,16829289
7,2013,16779575
8,2012,16730348
9,2011,16655799
10,2010,16574989
11,2009,16485787
12,2008,16405399
13,2007,16357992
14,2006,16334210
15,2005,16305526
16,2004,16258032
17,2003,16192572
18,2002,16105285
19,2001,15987075
20,2000,15863950
21,1999,15760225
22,1998,15654192
23,1997,15567107
24,1996,15493889
25,1995,15424122
26,1994,15341553
27,1993,15239182
28,1992,15129150
29,1991,15010445
30,1990,14892574
31,1989,14805240
32,1988,14714948
33,1987,14615125
34,1986,14529430
35,1985,14453833
36,1984,14394589
37,1983,14339551
38,1982,14285829
39,1981,14208586
40,1980,14091014
41,1979,13985526
42,1978,13897874
43,1977,13814495
44,1976,13733578
45,1975,13599092
46,1974,13491020
47,1973,13387623
48,1972,13269563
49,1971,13119430
50,1970,12957621
51,1969,12798346
52,1968,12661095
53,1967,12535307
54,1966,12377194
55,1965,12212269
56,1964,12041970
57,1963,11889962
58,1962,11721416
59,1961,11556008
60,1960,11417254
61,1959,11278024
62,1958,11095726
63,1957,10957040
64,1956,10821661
65,1955,10680023
66,1954,10550737
67,1953,10435631
68,1952,10328343
69,1951,10200280
70,1950,10026773
