,State,Projected percentage change
0,District of Columbia,22.6%
1,North Dakota,16.1%
2,Washington,13.8%
3,Nevada,11.4%
4,Utah,11%
5,Florida,10.8%
6,South Dakota,10.8%
7,Montana,9.7%
8,Texas,9.3%
9,Idaho,9.1%
10,Alaska,8.8%
11,Nebraska,8.1%
12,Oregon,7.3%
13,South Carolina,6.6%
14,Minnesota,5.6%
15,Hawaii,5.4%
16,Iowa,5%
17,Colorado,4.8%
18,Arizona,4.4%
19,Tennessee,4.3%
20,Oklahoma,4%
21,North Carolina,4%
22,Delaware,3.5%
23,Arkansas,3.5%
24,Maryland,3.1%
25,Georgia,2.8%
26,Virginia,2.3%
27,U.S. Average,1.6%
28,Indiana,0.7%
29,Louisiana,0.3%
30,Kentucky,-0.3%
31,Alabama,-0.5%
32,Kansas,-0.8%
33,Wyoming,-1.4%
34,Pennsylvania,-1.7%
35,Massachusetts,-2.6%
36,California,-2.7%
37,New York,-2.9%
38,Wisconsin,-3.1%
39,New Jersey,-3.8%
40,Ohio,-4.3%
41,Rhode Island,-4.5%
42,Maine,-5%
43,Illinois,-6.5%
44,Michigan,-8.4%
45,Mississippi,-8.6%
46,West Virginia,-8.9%
47,New Mexico,-9%
48,Vermont,-9%
49,New Hampshire,-11%
50,Connecticut,-12%
51,Missouri,-
