,Year,GDP per capita in U.S. dollars
0,2024,3346.39
1,2023,3074.98
2,2022,3830.0
3,2021,2602.02
4,2020,2400.45
5,2019,2222.01
6,2018,2032.86
7,2017,1971.79
8,2016,2180.27
9,2015,2726.34
10,2014,3222.68
11,2013,3042.05
12,2012,2797.86
13,2011,2582.57
14,2010,2365.01
15,2009,1958.58
16,2008,2234.36
17,2007,1822.79
18,2006,1591.33
19,2005,1245.07
20,2004,982.98
21,2003,797.64
22,2002,748.31
23,2001,598.29
24,2000,570.17
25,1999,496.5
26,1998,1861.07
27,1997,1713.38
28,1996,1618.29
29,1995,1273.27
30,1994,792.81
