,Month,Producer Price Index (2010=100)
0,Apr '19,117.7
1,Mar '19,116.8
2,Feb '19,117.6
3,Jan '19,117.2
4,Dec '18,117.4
5,Nov '18,116.7
6,Oct '18,117.3
7,Sep '18,117.9
8,Aug '18,117.1
9,Jul '18,116.4
10,Jun '18,115.9
11,May '18,115.4
12,Apr '18,113.5
13,Mar '18,113.0
14,Feb '18,112.8
15,Jan '18,112.2
16,Dec '17,12.4
17,Nov '17,112.0
18,Oct '17,111.1
19,Sep '17,110.9
20,Aug '17 **,111.3
21,Jul '17 **,110.1
22,Jun '17,110.1
23,May '17,109.4
24,Apr '17,109.0
25,Mar '17,109.2
26,Feb '17,109.2
27,Jan '17,109.0
28,Dec '16,107.5
29,Nov '16,107.1
30,Oct '16,107.5
31,Sep '16,104.3
32,Aug '16,104.5
33,Jul '16,104.5
34,Jun '16,100.2
35,May '16,99.5
36,Apr '16,99.2
37,Mar '16,98.4
38,Feb '16,98.2
39,Jan '16,97.6
40,Dec '15,97.3
41,Nov '15,96.2
42,Oct '15,97.7
43,Sep '15,99.0
44,Aug '15,98.4
