,Year,Average advertisement cost in million U.S. dollars
0,Super Bowl LIII (2019),5.25
1,Super Bowl LII (2018)***,5.0
2,Super Bowl LI (2017)**,5.0
3,Super Bowl 50 (2016),5.0
4,Super Bowl XLIX (2015),4.5
5,Super Bowl XLVIII (2014),4.0
6,Super Bowl XLVII (2013),4.0
7,Super Bowl XLVI (2012),3.5
8,Super Bowl XLV (2011),3.0
9,Super Bowl XLIV (2010),2.7
10,Super Bowl XLIII (2009),3.1
11,Super Bowl XLII (2008),2.7
12,Super Bowl XLI (2007),2.7
13,Super Bowl XL (2006),2.7
14,Super Bowl XXXIX (2005),2.7
15,Super Bowl XXXVIII (2004),2.6
16,Super Bowl XXXVI (2002),2.3
