,ATM operator,Number of ATMs
0,Cardtronics,17564
1,NoteMachine,10506
2,NatWest,6966
3,PayPoint,3926
4,Barclays bank UK Plc,3488
5,Bank of Ireland,2267
6,YourCash,2204
7,Santander,2109
8,Lloyds bank,2041
9,Sainsbury's Bank,1819
10,Halifax,1737
11,HSBC,1571
12,Nationwide Building Society,1351
13,TSB Bank,754
14,Bank of Scotland,426
15,Travelex,362
16,Yorkshire Bank,233
17,Northern Bank,197
18,Clydesdale bank,150
19,Moneycorp,141
20,ChangeGroup,83
21,AIB Group,65
22,Coventry Building Society,60
23,Cumberland Building Society,20
24,Barclays Bank,14
25,Citibank,4
26,G4S,4
