,Industry,Wage and salary in U.S. dollars
0,Management of companies and enterprises,137088
1,Information,130574
2,Utilities,117030
3,Finance and insurance,115557
4,Mining,110582
5,"Professional, scientific, and technical services",105907
6,Wholesale trade,84161
7,Manufacturing,72735
8,Government,70691
9,Real estate and rental and leasing,67561
10,Construction,67503
11,Wages and salaries per full-time equivalent employee,66778
12,Private industries,65374
13,Transportation and warehousing,60875
14,Health care and social assistance,57719
15,"Arts, entertainment, and recreation",52956
16,Educational services,50040
17,Administrative and waste management services,47470
18,"Other services, except government",46030
19,Retail trade,39457
20,"Agriculture, forestry, fishing, and hunting",36663
21,Accommodation and food services,31679
