,Month,Inflation rate
0,;Jul '2ß,5.5%
1,Jun '2ß,7.2%
2,May '20,6.4%
3,Apr '20,6.6%
4,Mar '20,6.7%
5,Feb '20,6.9%
6,Jan '20,8%
7,Dec '19,7%
8,Nov '19,6%
9,Oct '19,4.7%
10,Sep '19,4.2%
11,Aug '19,5.2%
12,Jul '19,4.8%
13,Jun '19,4.6%
14,May '19,5.8%
15,Apr '19,5.8%
16,Mar '19,5.6%
17,Feb '19,5%
18,Jan '19,3.6%
19,Dec '18,2.6%
20,Nov '18,2.5%
21,Oct '18,3.3%
22,Sep '18,3.2%
23,Aug '18,2.9%
24,Jul '18,2.8%
25,Jun '18,2.7%
26,May '18,2.1%
27,Apr '18,1.2%
28,Mar '18,1.2%
29,Feb '18,1%
30,Jan '18,1%
31,Dec '17,3.8%
32,Nov '17,4.9%
33,Oct '17,4.2%
34,Sep '17,3.9%
35,Aug '17,2.7%
36,Jul '17,2.5%
37,Jun '17,4.4%
38,May '17,4.2%
39,Apr '17,5.1%
40,Mar '17,4.1%
41,Feb '17,3.7%
42,Jan '17,3.8%
43,Dec '16,1.3%
44,Nov '16,-0.2%
45,Oct '16,-0.3%
46,Sep '16,-0.3%
47,Aug '16,1.2%
48,Jul '16,2%
49,Jun '16,-0.6%
50,May '16,-1.8%
51,Apr '16,-2.8%
52,Mar '16,-1.4%
53,Feb '16,1%
54,Jan '16,0.5%
55,Dec '15,0.5%
56,Nov '15,0.3%
57,Oct '15,0.1%
58,Sep '15,0.8%
59,Aug '15,0.1%
60,Jul '15,-0.9%
61,Jun '15,0.47%
62,May '15,0.9%
