,YouTube video producers from the Netherlands,Number of views in millions
0,Kwebbelkop,2977.44
1,Jelly,2710.49
2,Trap City,2473.8
3,Armada Music,2386.14
4,Martin Garrix,2139.44
5,Анатолий Шарий,1866.84
6,TopNotchNL,1533.32
7,EnzoKnol,1527.59
8,The Voice Kids,1072.1
9,saskiadansschool,816.73
10,Hardwell,786.01
11,NikkieTutorials,744.07
12,André Rieu,601.04
13,The Kid from Curaçao,567.0
14,GilvaSunner,565.65
15,Tiësto,564.23
16,StukTV,563.89
17,DagelijksHaaDee,551.49
18,Gumbal,526.5
19,The Voice of Holland,524.76
