,film,Box office gross in million U.S. dollars
0,Star Wars: Episode VII - The Force Awakens,936.66
1,Avengers: Endgame,858.37
2,Avatar,760.51
3,Black Panther,700.43
4,Avengers: Infinity War,678.82
5,Titanic,659.36
6,Jurassic World,652.27
7,The Avengers,623.36
8,Star Wars: Episode VIII - The Last Jedi,620.18
9,Incredibles 2,608.58
10,The Lion King,543.64
11,The Dark Knight,535.23
12,Rogue One: A Star Wars Story,532.18
13,Star Wars: Episode IX - The Rise of Skywalker,515.2
14,Beauty and the Beast,504.48
15,Finding Dory,486.3
16,Frozen II,477.37
17,Star Wars: Episode I - The Phantom Menace,474.54
18,Star Wars: Episode IV - A New Hope,461.0
19,Avengers: Age of Ultron,459.01
