,Year,GDP per capita in U.S. dollars
0,2024,2681.52
1,2023,2574.2
2,2022,2472.87
3,2021,2385.78
4,2020,2266.41
5,2019,2223.42
6,2018,2216.84
7,2017,2037.95
8,2016,1941.46
9,2015,1753.85
10,2014,1962.66
11,2013,2389.77
12,2012,2184.39
13,2011,2123.65
14,2010,1745.54
15,2009,1462.8
16,2008,1677.37
17,2007,1516.05
18,2006,1315.81
19,2005,1147.6
20,2004,970.46
21,2003,858.79
22,2002,714.16
23,2001,630.33
24,2000,606.32
25,1999,1011.73
26,1998,1001.88
27,1997,945.09
28,1996,948.53
29,1995,914.59
30,1994,792.68
31,1993,883.34
32,1992,1114.47
33,1991,1154.35
34,1990,1056.15
35,1989,935.96
36,1988,941.73
37,1987,906.97
38,1986,1106.5
39,1985,1223.25
40,1984,1409.55
