,Country,Average monthly wage in U.S. dollars
0,Luxembourg,4089
1,Norway,3678
2,Austria,3437
3,United States,3263
4,United Kingdom,3065
5,Belgium,3035
6,Sweden,3023
7,Ireland,2997
8,Finland,2925
9,Korea (Republic of),2903
10,France,2886
11,Canada,2724
12,Germany,2720
13,Singapore,2616
14,Australia,2610
15,Cyprus,2605
16,Japan,2522
17,Italy,2445
18,Iceland,2431
19,Spain,2352
20,Greece,2300
21,New Zealand,2283
22,South Africa,1838
23,Malta,1808
24,Israel,1804
25,Czech Republic,1786
26,Croatia,1756
27,Turkey,1731
28,Qatar,1690
29,Hong Kong (China),1545
30,Poland,1536
31,Slovakia,1385
32,Hungary,1374
33,Macedonia,1345
34,Bosnia & Herzegovina,1338
35,Estonia,1267
36,Russian Federation,1215
37,Jamaica,1135
38,Lithuania,1109
39,Argentina,1108
40,Latvia,1098
41,Serbia,1058
42,Chile,1021
43,Botswana,996
44,Malaysia,961
45,Belarus,959
46,Romania,954
47,Bahrain,917
48,Panama,831
49,Mauritius,783
50,Brazil,778
51,Macau (China),758
52,Kazakhstan,753
53,Bulgaria,750
54,Colombia,692
55,Ukraine,686
56,China,656
57,Mexico,609
58,Georgia,603
59,Azerbaijan,596
60,Egypt,548
61,Thailand,489
62,Armenia,471
63,Dominican Republic,462
64,Moldova (Republic of),438
65,Mongolia,415
66,Syrian Arab Republic,364
67,Kyrgyzstan Republic,336
68,India,295
69,Philippines,279
70,Pakistan,255
71,Tajikistan,227
