,Response,Percentage of those with depression
0,Alaska,3.8%
1,Alabama,4.8%
2,Arkansas,4.7%
3,Arizona,3.3%
4,California,3.6%
5,Colorado,4.2%
6,Connecticut,5.4%
7,District of Columbia,4.7%
8,Delaware,5%
9,Florida,4.4%
10,Georgia,4.3%
11,Hawaii,2.1%
12,Iowa,4.9%
13,Idaho,5.3%
14,Illinois,4%
15,Indiana,4.2%
16,Kansas,4.9%
17,Kentucky,4.6%
18,Louisiana,4.7%
19,Massachusetts,5.5%
20,Maryland,4.4%
21,Maine,6.1%
22,Michigan,4.6%
23,Minnesota,5.8%
24,Missouri,5.1%
25,Mississippi,3.6%
26,Montana,4.7%
27,North Carolina,4.8%
28,North Dakota,5.1%
29,Nebraska,4.1%
30,New Hampshire,5.1%
31,New Jersey,3.6%
32,New Mexico,4.1%
33,Nevada,3.2%
34,New York,4.2%
35,Ohio,4.4%
36,Oklahoma,4.7%
37,Oregon,5%
38,Pennsylvania,4.4%
39,Rhode Island,6.4%
40,South Carolina,3.9%
41,South Dakota,4.1%
42,Tennessee,4.8%
43,Texas,3.7%
44,Utah,6%
45,Virginia,4.4%
46,Vermont,5.2%
47,Washington,4.9%
48,Wisconsin,4.4%
49,West Virginia,5.4%
50,Wyoming,4.7%
51,United States,4.4%
