,Country,Public,Private
0,2017*,389.0,219.0
1,2016,372.0,212.0
2,2015,354.78,204.69
3,2014,335.63,199.86
4,2013,323.89,193.17
5,2012,311.42,187.44
6,2011,305.54,182.55
7,2010,296.86,175.13
8,2009,281.39,165.09
9,2008,273.02,157.74
10,2007,261.05,147.44
11,2006,238.83,136.72
12,2005,226.55,127.03
13,2004,215.79,119.23
14,2003,205.07,111.68
15,2002,197.03,105.86
16,2001,183.44,97.28
17,2000,170.35,89.86
18,1999,152.32,84.46
19,1998,140.54,78.67
20,1997,132.85,76.01
21,1996,125.98,73.93
22,1995,119.53,70.95
23,1994,115.47,67.5
24,1993,109.31,64.04
25,1992,104.57,60.67
26,1991,98.85,57.34
27,1990,92.96,53.13
28,1989,85.77,48.89
29,1988,78.95,44.92
30,1987,72.64,41.15
31,1986,67.65,38.11
32,1985,63.19,34.34
33,1984,58.32,31.64
34,1983,53.09,28.91
35,1982,49.57,26.36
36,1981,46.22,24.12
37,1980,42.28,21.77
38,1979,37.77,19.15
39,1978,33.73,16.99
40,1977,30.73,15.25
41,1976,28.64,13.97
42,1975,26.18,12.72
43,1974,23.49,11.57
44,1973,20.34,10.38
45,1972,18.2,9.75
46,1971,16.48,9.08
47,1970,15.0,8.38
