,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2%
4,2021*,1.5%
5,2020*,0.5%
6,2019*,-2.89%
7,2018,1.73%
8,2017,1.76%
9,2016,-1.8%
10,2015,1.44%
11,2014,2.73%
12,2013,-2.38%
13,2012,5.32%
14,2011,3.05%
15,2010,1.29%
16,2009,2.22%
17,2008,9.12%
18,2007,1.46%
19,2006,1.52%
20,2005,6.41%
21,2004,-3.11%
22,2003,-1.31%
23,2002,5.03%
24,2001,5.17%
25,2000,-0.76%
26,1999,-1.16%
27,1998,4.07%
28,1997,-0.67%
29,1996,6.45%
30,1995,11.64%
31,1994,24.29%
32,1993,-0.57%
33,1992,-5.91%
34,1991,1.51%
35,1990,1.61%
36,1989,-0.16%
37,1988,8.95%
38,1987,-14.94%
39,1986,-1.39%
40,1985,9.08%
