,Month,Number of persons tested
0,Mar 01,97
1,Mar 02,114
2,Mar 03,131
3,Mar 04,152
4,Mar 05,170
5,Mar 06,186
6,Mar 07,200
7,Mar 08,222
8,Mar 09,244
9,Mar 10,274
10,Mar 11,291
11,Mar 12,332
12,Mar 13,408
13,Mar 14,666
14,Mar 15,910
15,Mar 16,1147
16,Mar 17,1538
17,Mar 18,2144
18,Mar 19,2677
19,Mar 20,3205
20,Mar 21,4446
21,Mar 22,5127
22,Mar 23,6114
23,Mar 24,6806
24,Mar 25,9796
25,Mar 26,10613
26,Mar 27,11702
27,Mar 28,12748
28,Mar 29,13805
29,Mar 30,14307
30,Mar 31,14807
31,Apr 1,15810
32,Apr 2,16834
33,Apr 3,18198
34,Apr 4,19380
35,Apr 5,20680
36,Apr 6,21453
37,Apr 7,22575
38,Apr 8,24036
39,Apr 9,25458
40,Apr 10,26656
41,Apr 11,27796
42,Apr 12,28214
43,Apr 13,28776
44,Apr 14,29018
45,Apr 15,29896
46,Apr 16,31302
47,Apr 17,32837
48,Apr 18,34697
49,Apr 19,35881
50,Apr 20,36668
51,Apr 21,37972
52,Apr 22,39336
53,Apr 23,41041
54,Apr 24,43080
55,Apr 25,45743
56,Apr 26,47671
57,Apr 27,49181
58,Apr 28,51561
59,Apr 29,54811
60,Apr 30,57886
61,May 1,61120
62,May 2,63102
63,May 3,64245
64,May 4,65464
65,May 5,66150
66,May 6,68627
67,May 7,71069
68,May 8,73016
69,May 9,75571
70,May 10,76592
71,May 11,77147
72,May 12,79047
73,May 13,81246
74,May 14,83275
75,May 15,85431
76,May 16,87377
77,May 17,88405
78,May 18,89123
79,May 19,90968
80,May 20,92751
81,May 21,94621
82,May 22,96366
83,May 23,97846
84,May 24,99049
85,May 25,99770
86,May 26,101598
87,May 27,103553
88,May 28,105504
89,May 29,106931
90,May 30,108174
91,May 31,109071
92,Jun 1,109723
93,Jun 2,111404
94,Jun 3,112965
95,Jun 4,114451
96,Jun 5,115461
97,Jun 6,116535
98,Jun 7,117660
99,Jun 8,118322
100,Jun 9,120052
101,Jun 10,121783
102,Jun 11,123364
103,Jun 12,124662
104,Jun 13,126054
105,Jun 14,127450
106,Jun 15,128145
107,Jun 16,129836
108,Jun 17,131646
109,Jun 18,133557
110,Jun 19,134881
111,Jun 20,136567
112,Jun 21,137861
113,Jun 22,139024
114,Jun 23,140437
115,Jun 24,141713
116,Jun 25,142794
117,Jun 26,145086
118,Jun 29,148777
119,Jun 30,150837
120,Jul 1,152778
121,Jul 3,155599
122,Jul 6,158518
123,Jul 9,165610
124,Jul 13,169943
125,Jul 20,180928
126,Jul 27,191871
127,Aug 3,201997
128,Aug 10,213534
129,Aug 14,222531
130,Aug 24,238403
131,Aug 31,251717
132,Sep 7,265305
133,Oct 12,364012
134,Oct 20,397357
135,Nov 4,465634
136,Nov 12,521522
137,Nov 20,565354
