,Month,Number of viewers in thousands
0,December 2020,129.55
1,November 2020,168.3
2,October 2020,230.98
3,September 2020,187.49
4,August 2020,191.69
5,July 2020,181.98
6,June 2020,198.96
7,May 2020,171.58
8,April 2020,188.8
9,March 2020,166.21
10,February 2020,174.83
11,January 2020,134.03
12,December 2019,105.82
13,November 2019,132.22
14,October 2019,169.66
15,September 2019,107.74
16,August 2019,115.7
17,July 2019,91.7
18,June 2019,123.81
19,May 2019,138.19
20,April 2019,128.39
21,March 2019,145.8
22,February 2019,141.42
23,January 2019,133.15
24,December 2018,96.84
25,November 2018,117.31
26,October 2018,146.66
27,September 2018,106.34
28,August 2018,109.27
29,July 2018,102.06
30,June 2018,100.63
31,May 2018,110.28
32,April 2018,103.17
33,March 2018,119.36
34,February 2018,120.72
35,January 2018,119.64
