,Year,Inflation rate compared to previous year
0,2025*,1.95%
1,2024*,1.95%
2,2023*,1.95%
3,2022*,1.95%
4,2021*,2.1%
5,2020*,3%
6,2019,3.7%
7,2018,1.7%
8,2017,0.09%
9,2016,0.8%
10,2015,0.94%
11,2014,-0.01%
12,2013,0.42%
13,2012,5.91%
14,2011,2.23%
15,2010,3.9%
16,2009,4.79%
17,2008,4.82%
18,2007,4.49%
19,2006,3.39%
20,2005,3.01%
21,2004,4.5%
22,2003,3.71%
23,2002,3.58%
24,2001,5.57%
25,2000,5.9%
26,1999,1.1%
27,1998,1.2%
28,1997,1.5%
29,1996,2.4%
30,1995,3.15%
31,1994,25.3%
32,1993,2%
33,1992,-1.4%
34,1991,1.7%
35,1990,-7.39%
36,1989,4.44%
37,1988,0.29%
38,1987,3.3%
39,1986,-11.29%
40,1985,8.38%
