,Month,Number of new patients
0,Dec 20,128
1,Dec 19,195
2,Dec 18,199
3,Dec 17,204
4,Dec 16,194
5,Dec 15,214
6,Dec 14,121
7,Dec 13,185
8,Dec 12,188
9,Dec 11,183
10,Dec 10,200
11,Dec 9,185
12,Dec 8,210
13,Dec 7,145
14,Dec 6,147
15,Dec 5,214
16,Dec 4,218
17,Dec 3,189
18,Dec 2,232
19,Dec 1,201
20,Nov 30,122
21,Nov 29,138
22,Nov 28,211
23,Nov 27,235
24,Nov 26,254
25,Nov 25,274
26,Nov 24,286
27,Nov 23,206
28,Nov 22,209
29,Nov 21,256
30,Nov 20,313
31,Nov 19,349
32,Nov 18,356
33,Nov 17,372
34,Nov 16,276
35,Nov 15,294
36,Nov 14,450
37,Nov 13,509
38,Nov 12,403
39,Nov 11,544
40,Nov 10,609
41,Nov 9,434
42,Nov 8,403
43,Nov 7,500
44,NOv 6,593
45,Nov 5,559
46,Nov 4,653
47,Nov 3,879
48,Nov 2,595
49,Nov 1,555
50,Oct 31,684
51,Oct 30,720
52,Oct 29,673
53,Oct 28,743
54,Oct 27,690
55,Oct 26,527
56,Oct 25,509
57,Oct 24,593
58,Oct 23,594
59,Oct 22,496
60,Oct 21,423
61,Oct 20,411
62,Oct 19,263
63,Oct 18,263
64,Oct 17,352
65,Oct 16,240
66,Oct 15,284
67,Oct 14,255
68,Oct 13,211
69,Oct 12,165
70,Oct 11,131
71,Oct 10,160
72,Oct 9,142
73,Oct 8,124
74,Oct 7,132
75,Oct 6,104
76,Oct 5,87
77,Oct 4,86
78,Oct 3,73
79,Oct 2,66
80,Oct 1,87
81,Sep 30,84
82,Sep 29,84
83,Sep 28,61
84,Sep 27,46
85,Sep 26,51
86,Sep 25,72
87,Sep 24,83
88,Sep 23,70
89,Sep 22,68
90,Sep 21,58
91,Sep 20,47
92,Sep 19,55
93,Sep 18,48
94,Sep17,47
95,Sep 16,42
96,Sep 15,47
97,Sep 14,31
98,Sep 13,41
99,Sep 12,34
100,Sep 11,28
101,Sep 10,23
102,Sep 9,23
103,Sep 8,40
104,Sep 7,24
105,Sep 6,14
106,Sep 5,14
107,Sep 4,18
108,Sep 3,11
109,Sep 2,24
110,Sep 1,24
111,Aug 31,14
112,Aug 30,13
113,Aug 29,6
114,Aug 28,18
115,Aug 27,18
116,Aug 26,20
117,Aug 25,12
118,Aug 24,16
119,Aug 23,16
120,Aug 22,22
121,Aug 21,27
122,Aug 20,25
123,Aug 19,35
124,Aug 18,31
125,Aug 17,14
126,Aug 16,28
127,Aug 15,35
128,Aug 14,28
129,Aug 13,42
130,Aug 12,30
131,Aug 11,48
132,Aug 10,33
133,Aug 9,20
134,Aug 8,31
135,Aug 7,27
136,Aug 6,28
137,Aug 5,21
138,Aug 4,18
139,Aug 3,24
140,Aug 2,23
141,Aug 1,26
142,Jul 31,11
143,Jul 30,20
144,Jul 29,33
145,Jul 28,35
146,Jul 27,20
147,Jul 26,14
148,Jul 25,21
149,Jul 24,28
150,Jul 23,24
151,Jul 22,19
152,Jul 21,5
153,Jul 20,13
154,Jul 19,15
155,Jul 18,23
156,Jul 17,8
157,Jul 16,12
158,Jul 15,9
159,Jul 14,18
160,Jul 13,9
161,Jul 12,7
162,Jul 11,9
163,Jul 10,6
164,Jul 9,10
165,Jul 8,9
166,Jul 7,15
167,Jul 6,9
168,Jul 5,6
169,Jul 4,16
170,Jul 3,5
171,Jul 2,13
172,Jul 1,9
173,Jun 30,17
174,Jun 29,13
175,Jun 28,5
176,Jun 27,16
177,Jun 26,18
178,Jun 25,19
179,Jun 24,16
180,Jun 23,12
181,Jun 22,12
182,Jun 21,10
183,Jun 20,18
184,Jun 19,20
185,Jun 18,19
186,Jun 17,24
187,Jun 16,11
188,Jun 15,17
189,Jun 14,20
190,Jun 13,23
191,Jun 12,32
192,Jun 11,19
193,Jun 10,24
194,Jun 9,16
195,Jun 8,23
196,Jun 7,21
197,Jun 6,26
198,Jun 5,32
199,Jun 4,21
200,Jun 3,31
201,Jun 2,26
202,Jun 1,25
203,May 31,40
204,May 30,29
205,May 29,27
206,May 28,47
207,May 27,36
208,May 26,39
209,May 25,27
210,May 24,48
211,May 23,34
212,May 22,56
213,May 21,71
214,May 20,58
215,May 19,50
216,May 18,43
217,May 17,60
218,May 16,65
219,May 15,67
220,May 14,81
221,May 13,70
222,May 12,43
223,May 11,60
224,May 10,83
225,May 9,76
226,May 8,108
227,May 7,98
228,May 6,116
229,May 5,84
230,May 4,59
231,May 3,77
232,May 2,128
233,May 1,152
234,Apr 30,178
235,Apr 29,174
236,Apr 28,123
237,Apr 27,127
238,Apr 26,204
239,Apr 25,217
240,Apr 24,210
241,Apr 23,211
242,Apr 22,263
243,Apr 21,172
244,Apr 20,232
245,Apr 19,256
246,Apr 18,303
247,Apr 17,320
248,Apr 16,310
249,Apr 15,250
250,Apr 14,242
251,Apr 13,310
252,Apr 12,392
253,Apr 11,421
254,Apr 10,462
255,Apr 9,459
256,Apr 8,487
257,Apr 7,314
258,Apr 6,420
259,Apr 5,499
260,Apr 4,503
261,Apr 3,578
262,Apr 2,584
263,Apr 1,560
264,Mar 31,485
265,Mar 30,536
266,Mar 29,629
267,Mar 28,575
268,Mar 27,490
269,Mar 26,536
270,Mar 25,293
271,Mar 24,256
272,Mar 23,290
273,Mar 22,335
274,Mar 21,299
275,Mar 20,215
