,Month,Stock price in euros
0,"Jan 8, 2021",49.35
1,"Jan 7, 2021",49.1
2,"Jan 6, 2021",49.32
3,"Jan 5, 2021",49.04
4,"Jan 4, 2021",49.41
5,"Dec 31, 2020",49.57
6,"Dec 30, 2020",49.76
7,"Dec 29, 2020",49.25
8,"Dec 28, 2020",48.58
9,"Dec 24, 2020",47.83
10,"Dec 23, 2020",47.72
11,"Dec 22, 2020",47.5
12,"Dec 21, 2020",46.86
13,"Dec 18, 2020",47.92
14,"Dec 17, 2020",48.0
15,"Dec 16, 2020",48.5
16,"Dec 15, 2020",47.52
17,"Dec 14, 2020",47.84
18,"Dec 11, 2020",48.22
19,"Dec 10, 2020",48.07
20,"Dec 9, 2020",48.14
21,"Dec 8, 2020",48.02
22,"Dec 7, 2020",47.66
23,"Dec 4, 2020",48.0
24,"Dec 3, 2020",47.44
25,"Dec 2, 2020",48.5
26,"Dec 1, 2020",49.35
27,"Nov 30, 2020",50.82
28,"Nov 27, 2020",50.26
29,"Nov 26, 2020",50.96
30,"Nov 25, 2020",51.02
31,"Nov 24, 2020",48.5
32,"Nov 23, 2020",48.66
33,"Nov 20, 2020",49.66
34,"Nov 19, 2020",49.55
35,"Nov 18, 2020",50.32
36,"Nov 17, 2020",50.64
37,"Nov 16, 2020",51.48
38,"Nov 13, 2020",52.58
39,"Nov 12, 2020",52.96
40,"Nov 11, 2020",53.22
41,"Nov 10, 2020",52.02
42,"Nov 9, 2020",52.22
43,"Nov 6, 2020",51.58
44,"Nov 5, 2020",51.38
45,"Nov 4, 2020",51.34
46,"Nov 3, 2020",50.32
47,"Nov 2, 2020",49.37
48,"Oct 30, 2020",48.55
49,"Oct 29, 2020",49.05
50,"Oct 28, 2020",49.71
51,"Oct 27, 2020",51.3
52,"Oct 26, 2020",50.6
53,"Oct 23, 2020",51.1
54,"Oct 22, 2020",51.52
55,"Oct 21, 2020",51.46
56,"Oct 20, 2020",52.2
57,"Oct 19, 2020",52.1
58,"Oct 16, 2020",52.64
59,"Oct 15, 2020",52.26
60,"Oct 14, 2020",53.12
61,"Oct 13, 2020",52.94
62,"Oct 12, 2020",52.9
63,"Oct 9, 2020",52.7
64,"Oct 8, 2020",51.82
65,"Oct 7, 2020",51.78
66,"Oct 6, 2020",51.84
67,"Oct 5, 2020",52.34
68,"Oct 2, 2020",52.4
69,"Oct 1, 2020",51.72
70,"Sep 30, 2020",51.5
71,"Sep 29, 2020",51.7
72,"Sep 28, 2020",52.18
73,"Sep 25, 2020",51.04
74,"Sep 24, 2020",50.58
75,"Sep 23, 2020",50.96
76,"Sep 22, 2020",50.56
77,"Sep 21, 2020",49.84
78,"Sep 18, 2020",50.98
79,"Sep 17, 2020",52.02
80,"Sep 16, 2020",52.08
81,"Sep 15, 2020",52.0
82,"Sep 14, 2020",51.42
83,"Sep 11, 2020",51.58
84,"Sep 10, 2020",51.2
85,"Sep 9, 2020",51.48
86,"Sep 8, 2020",49.69
87,"Sep 7, 2020",49.54
88,"Sep 4, 2020",48.82
89,"Sep 3, 2020",49.83
90,"Sep 2, 2020",49.95
91,"Sep 1, 2020",48.69
92,"Aug 31, 2020",48.51
93,"Aug 28, 2020",48.98
94,"Aug 27, 2020",50.02
95,"Aug 26, 2020",49.71
96,"Aug 25, 2020",49.47
97,"Aug 24, 2020",49.73
98,"Aug 21, 2020",49.16
99,"Aug 20, 2020",49.42
100,"Aug 19, 2020",49.58
101,"Aug 18, 2020",49.03
102,"Aug 17, 2020",49.41
103,"Aug 14, 2020",49.5
104,"Aug 13, 2020",49.84
105,"Aug 12, 2020",49.99
106,"Aug 11, 2020",49.02
107,"Aug 10, 2020",49.46
108,"Aug 7, 2020",49.28
109,"Aug 6, 2020",49.89
110,"Aug 5, 2020",50.72
111,"Aug 4, 2020",51.02
112,"Aug 3, 2020",51.16
113,"Jul 31, 2020",50.08
114,"Jul 30, 2020",50.82
115,"Jul 29, 2020",51.74
116,"Jul 28, 2020",51.1
117,"Jul 27, 2020",50.7
118,"Jul 24, 2020",50.54
119,"Jul 23, 2020",50.5
120,"Jul 22, 2020",46.86
121,"Jul 21, 2020",47.54
122,"Jul 20, 2020",47.3
123,"Jul 17, 2020",47.4
124,"Jul 16, 2020",46.99
125,"Jul 15, 2020",47.45
126,"Jul 14, 2020",46.8
127,"Jul 13, 2020",46.88
128,"Jul 10, 2020",46.28
129,"Jul 9, 2020",46.44
130,"Jul 8, 2020",46.66
131,"Jul 7, 2020",46.92
132,"Jul 6, 2020",47.56
133,"Jul 3, 2020",47.36
134,"Jul 2, 2020",48.46
135,"Jul 1, 2020",47.48
136,"Jun 30, 2020",47.25
137,"Jun 29, 2020",47.83
138,"Jun 26, 2020",49.07
139,"Jun 25, 2020",48.75
140,"Jun 24, 2020",48.82
141,"Jun 23, 2020",49.51
142,"Jun 22, 2020",49.5
143,"Jun 19, 2020",50.5
144,"Jun 18, 2020",49.25
145,"Jun 17, 2020",49.54
146,"Jun 16, 2020",48.68
147,"Jun 15, 2020",46.98
148,"Jun 12, 2020",47.33
149,"Jun 11, 2020",47.39
150,"Jun 10, 2020",47.16
151,"Jun 9, 2020",46.85
152,"Jun 8, 2020",47.4
153,"Jun 5, 2020",47.85
154,"Jun 4, 2020",47.25
155,"Jun 3, 2020",47.52
156,"Jun 2, 2020",46.62
157,"Jun 1, 2020",46.66
158,"May 29, 2020",46.49
159,"May 28, 2020",46.23
160,"May 27, 2020",45.17
161,"May 26, 2020",44.4
162,"May 25, 2020",44.88
163,"May 22, 2020",44.05
164,"May 21, 2020",44.28
165,"May 20, 2020",44.48
166,"May 19, 2020",44.34
167,"May 18, 2020",45.23
168,"May 15, 2020",44.33
169,"May 14, 2020",44.35
170,"May 13, 2020",45.45
171,"May 12, 2020",45.87
172,"May 11, 2020",45.47
173,"May 8, 2020",45.0
174,"May 7, 2020",44.7
175,"May 6, 2020",43.94
176,"May 5, 2020",44.45
177,"May 4, 2020",44.36
178,"Apr 30, 2020",45.58
179,"Apr 29, 2020",45.32
180,"Apr 28, 2020",45.18
181,"Apr 27, 2020",45.39
182,"Apr 24, 2020",45.27
183,"Apr 23, 2020",45.9
184,"Apr 22, 2020",46.7
185,"Apr 21, 2020",46.13
186,"Apr 20, 2020",47.67
187,"Apr 17, 2020",45.68
188,"Apr 16, 2020",45.8
189,"Apr 15, 2020",45.99
190,"Apr 14, 2020",46.68
191,"Apr 9, 2020",45.69
192,"Apr 8, 2020",45.5
193,"Apr 7, 2020",46.01
194,"Apr 6, 2020",45.71
195,"Apr 3, 2020",44.25
196,"Apr 2, 2020",44.51
197,"Apr 1, 2020",43.78
198,"Mar 31, 2020",44.81
199,"Mar 30, 2020",43.75
200,"Mar 27, 2020",42.61
201,"Mar 26, 2020",43.24
202,"Mar 25, 2020",42.47
203,"Mar 24, 2020",42.2
204,"Mar 23, 2020",41.92
205,"Mar 20, 2020",44.8
206,"Mar 19, 2020",45.6
207,"Mar 18, 2020",43.45
208,"Mar 17, 2020",43.23
209,"Mar 16, 2020",40.29
210,"Mar 13, 2020",42.22
211,"Mar 12, 2020",42.75
212,"Mar 11, 2020",46.05
213,"Mar 10, 2020",45.83
214,"Mar 9, 2020",47.05
215,"Mar 6, 2020",49.05
216,"Mar 5, 2020",50.83
217,"Mar 4, 2020",50.4
218,"Mar 3, 2020",49.33
219,"Mar 2, 2020",48.53
220,"Feb 28, 2020",47.62
221,"Feb 27, 2020",49.87
222,"Feb 26, 2020",51.16
223,"Feb 25, 2020",51.52
224,"Feb 24, 2020",52.34
225,"Feb 21, 2020",53.92
226,"Feb 20, 2020",54.05
227,"Feb 19, 2020",54.86
228,"Feb 18, 2020",55.05
229,"Feb 17, 2020",55.0
230,"Feb 14, 2020",54.85
231,"Feb 13, 2020",54.7
232,"Feb 12, 2020",54.78
233,"Feb 11, 2020",54.75
234,"Feb 10, 2020",54.52
235,"Feb 7, 2020",54.51
236,"Feb 6, 2020",54.42
237,"Feb 5, 2020",53.97
238,"Feb 4, 2020",53.19
239,"Feb 3, 2020",52.97
240,"Jan 31, 2020",52.7
241,"Jan 30, 2020",52.45
242,"Jan 29, 2020",51.49
243,"Jan 28, 2020",51.88
244,"Jan 27, 2020",51.33
245,"Jan 24, 2020",51.86
246,"Jan 23, 2020",50.94
247,"Jan 22, 2020",51.11
248,"Jan 21, 2020",51.16
249,"Jan 20, 2020",51.04
250,"Jan 17, 2020",51.07
251,"Jan 16, 2020",50.68
252,"Jan 15, 2020",50.52
253,"Jan 14, 2020",50.22
254,"Jan 13, 2020",50.26
255,"Jan 10, 2020",50.3
256,"Jan 9, 2020",50.16
257,"Jan 8, 2020",49.82
258,"Jan 7, 2020",50.51
259,"Jan 6, 2020",50.96
260,"Jan 3, 2020",51.36
261,"Jan 2, 2020",51.38
262,"Dec 31, 2019",51.23
263,"Dec 30, 2019",51.46
264,"Dec 27, 2019",51.93
265,"Dec 24, 2019",51.45
266,"Dec 23, 2019",51.82
267,"Dec 20, 2019",51.68
268,"Dec 19, 2019",51.18
269,"Dec 18, 2019",50.95
270,"Dec 17, 2019",51.45
271,"Dec 16, 2019",54.99
272,"Dec 13, 2019",54.18
273,"Dec 12, 2019",53.77
274,"Dec 11, 2019",54.0
275,"Dec 10, 2019",54.41
276,"Dec 9, 2019",54.47
277,"Dec 6, 2019",54.38
278,"Dec 5, 2019",53.51
279,"Dec 4, 2019",53.84
