,Year,Inflation rate compared to previous year
0,2025*,4.86%
1,2024*,4.8%
2,2023*,4.8%
3,2022*,4.58%
4,2021*,4.22%
5,2020*,4.12%
6,2019,2.58%
7,2018,4.83%
8,2017,6.22%
9,2016,7.85%
10,2015,4.95%
11,2014,5.68%
12,2013,5.62%
13,2012,8.94%
14,2011,6.11%
15,2010,4.51%
16,2009,7.45%
17,2008,12.66%
18,2007,8.08%
19,2006,5.2%
20,2005,4.9%
21,2004,3.45%
22,2003,7.29%
23,2002,12.02%
24,2001,5.94%
25,2000,12.21%
26,1999,6.09%
27,1998,8.11%
28,1997,7.13%
29,1996,6.43%
30,1995,12.29%
31,1994,13.77%
32,1993,12.02%
33,1992,7.56%
34,1991,8.93%
35,1990,13.09%
36,1989,7.55%
37,1988,20.4%
38,1987,13.38%
39,1986,13.74%
40,1985,20.46%
