,Year,Number of disciplines
0,2018 Pyeongchang,102
1,2014 Sochi,98
2,2010 Vancouver,86
3,2006 Turin,84
4,2002 Salt Lake City,78
5,1998 Nagano,68
6,1994 Lillehammer,61
7,1992 Albertville,57
8,1988 Calgary,46
9,1984 Sarajevo,39
10,1980 Lake Placid,38
11,1976 Innsbruck,37
12,1972 Sapporo,35
13,1968 Grenoble,35
14,1964 Innsbruck,34
15,1960 Squaw Valley,27
16,1956 Cortina d’Ampezzo,24
17,1952 Oslo,22
18,1948 St. Moritz,22
19,1936 Garmisch-Partenkirchen,17
20,1932 Lake Placid,14
21,1928 St. Moritz,14
22,1924 Chamonix,16
