,State,Number of property crimes
0,California,921114
1,Texas,693204
2,Florida,460846
3,New York,267155
4,Georgia,252249
5,North Carolina,247236
6,Ohio,240291
7,Illinois,233984
8,Washington,204224
9,Tennessee,181153
10,Pennsylvania,179665
11,Arizona,177638
12,Missouri,161946
13,Michigan,158296
14,South Carolina,151389
15,Colorado,149189
16,Louisiana,146993
17,Virginia,140213
18,Indiana,132694
19,Alabama,131133
20,New Jersey,118637
21,Maryland,117901
22,Minnesota,117236
23,Oregon,115170
24,Oklahoma,112587
25,Arkansas,86250
26,Wisconsin,85672
27,Kentucky,84769
28,Massachusetts,81317
29,Nevada,71525
30,Mississippi,70707
31,Utah,69546
32,Kansas,67428
33,New Mexico,65269
34,Iowa,54699
35,Connecticut,50862
36,Hawaii,40228
37,Nebraska,39449
38,District of Columbia,30821
39,West Virginia,28376
40,Montana,23440
41,Delaware,21931
42,Idaho,21793
43,Alaska,21294
44,Maine,16743
45,New Hampshire,16442
46,Rhode Island,16259
47,South Dakota,15667
48,North Dakota,15066
49,Wyoming,9093
50,Vermont,8888
