,Month,Bitcoin price index in U.S. dollars
0,Jan 20,9388.88
1,Dec 19,7179.96
2,Nov 19,7551.24
3,Oct 19,9225.0
4,Sep 19,8085.71
5,Aug 19,9487.96
6,Jul 19,9506.7
7,Jun 19,10908.18
8,May 19,8287.04
9,Apr 19,5151.43
10,Mar 19,4081.22
11,Feb 19,3799.68
12,Jan 19,3441.03
13,Dec 18,3689.56
14,Nov 18,4241.74
15,Oct 18,6320.45
16,Sep 18,6604.97
17,Aug 18,7013.97
18,Jul 18,7726.89
19,Jun 18,6387.31
20,May 18,7487.19
21,Apr 18,9244.32
22,Mar 18,6926.02
23,Feb 18,10309.64
24,Jan 18,10166.51
25,Dec 17,13860.14
26,Nov 17,9916.54
27,Oct 17,4353.05
28,Sep 17,4349.29
29,Aug 17,4764.87
30,Jul 17,2873.83
31,Jun 17,2504.28
32,May 17,2328.91
33,Apr 17,1349.19
34,Mar 17,1079.75
35,Feb 17,1190.89
36,Jan 17,967.67
37,Dec 16,968.23
38,Nov 16,742.01
39,Oct 16,697.37
40,Sep 16,608.44
41,Aug 16,572.33
42,Jul 16,625.88
43,Jun 16,672.48
44,Apr 16,449.33
45,Mar 16,415.16
46,Feb 16,436.61
47,Jan 16,367.13
48,Dec 15,430.05
49,Nov 15,376.91
50,Oct 15,312.43
51,Sep 15,236.25
52,Aug 15,230.02
53,Jul 15,283.94
54,Jun 15,262.48
55,May 15,230.0
56,Apr 15,236.57
57,Mar 15,243.39
58,Feb 15,253.53
59,Jan 15,216.91
60,Dec 14,319.7
61,Nov 14,377.09
62,Oct 14,336.8
63,Sep 14,386.27
64,Aug 14,478.07
65,Jul 14,581.35
66,Jun 14,639.36
67,May 14,623.26
68,Apr 14,445.87
69,Mar 14,458.5
70,Feb 14,543.93
71,Jan 14,848.29
72,Dec 13,757.5
73,Nov 13,1124.76
74,Oct 13,198.23
75,Sep 13,123.1
76,Aug 13,129.46
77,Jul 13,97.91
78,Jun 13,97.51
79,May 13,128.82
80,Apr 13,139.23
81,Mar 13,93.03
82,Feb 13,33.38
83,Jan 13,20.41
84,Dec 12,13.51
85,Nov 12,12.56
86,Oct 12,11.2
87,Sep 12,12.4
88,Aug 12,10.16
89,Jul 12,9.35
