,Quarter,Balance in billion U.S. dollars
0,Q3 '20,-188.41
1,Q2 '20,-158.69
2,Q1 '20,-126.48
3,Q4 '19,-129.76
4,Q3 '19,-149.66
5,Q2 '19,-152.21
6,Q1 '19,-145.24
7,Q4 '18,-158.45
8,Q3 '18,-152.41
9,Q2 '18,-130.23
10,Q1 '18,-138.85
11,Q4 '17,-135.31
12,Q3 '17,-125.54
13,Q2 '17,-129.62
14,Q1 '17,-123.33
15,Q4 '16,-125.17
16,Q3 '16,-117.65
17,Q2 '16,-118.57
18,Q1 '16,-119.79
19,Q4 '15,-122.59
20,Q3 '15,-126.32
21,Q2 '15,-120.91
22,Q1 '15,-121.45
23,Q4 '14,-123.75
24,Q3 '14,-117.59
25,Q2 '14,-122.26
26,Q1 '14,-120.54
27,Q4 '13,-103.93
28,Q3 '13,-112.89
29,Q2 '13,-114.59
30,Q1 '13,-115.42
31,Q4 '12,-123.13
32,Q3 '12,-125.23
33,Q2 '12,-134.89
34,Q1 '12,-142.66
35,Q4 '11,-142.44
36,Q3 '11,-134.6
37,Q2 '11,-140.29
38,Q1 '11,-137.19
39,Q4 '10,-121.11
40,Q3 '10,-131.56
41,Q2 '10,-130.9
42,Q1 '10,-119.52
