,Year,Crude birth rate
0,2020,12.8
1,2015,13.0
2,2010,11.4
3,2005,9.8
4,2000,8.9
5,1995,10.9
6,1990,16.2
7,1985,16.7
8,1980,15.8
9,1975,15.4
10,1970,15.0
11,1965,21.1
12,1960,25.7
13,1955,26.9
14,1950,26.23
15,1945,18.2
16,1940,36.62
17,1935,29.78
18,1930,43.36
19,1925,44.63
20,1920,45.57
21,1915,46.56
22,1910,48.86
23,1905,51.38
24,1900,52.1
25,1895,51.12
26,1890,48.18
27,1885,49.0
28,1880,49.14
29,1875,50.76
30,1870,49.0
31,1865,49.9
32,1860,50.04
33,1855,50.54
34,1850,50.63
35,1845,49.43
36,1840,48.14
