,Year,Gross domestic product in billion international dollars
0,2021*,269.22
1,2020*,253.1
2,2019,243.62
3,2018,219.74
4,2017,199.17
5,2016,177.38
6,2015,162.56
7,2014,145.73
8,2013,129.72
9,2012,116.0
10,2011,104.71
11,2010,92.07
12,2009,82.28
13,2008,74.24
14,2007,65.49
15,2006,57.04
16,2005,49.66
17,2004,42.77
18,2003,37.28
19,2002,37.39
20,2001,36.23
21,2000,33.01
22,1999,29.39
23,1998,27.26
24,1997,28.13
25,1996,26.89
26,1995,23.26
27,1994,21.47
28,1993,20.31
29,1992,17.5
30,1991,18.79
31,1990,19.59
32,1989,18.4
33,1988,17.79
34,1987,17.08
35,1986,14.64
36,1985,13.08
37,1984,14.32
