,Year,"Deaths per 1,000 live births"
0,2020,7.0
1,2015,10.0
2,2010,13.0
3,2005,20.0
4,2000,25.0
5,1995,26.0
6,1990,28.0
7,1985,31.0
8,1980,34.0
9,1975,32.0
10,1970,37.0
11,1965,48.0
12,1960,78.0
13,1955,142.0
14,1950,95.66
15,1945,115.57
16,1940,139.63
17,1935,168.7
18,1930,203.71
19,1925,245.78
20,1920,296.54
21,1915,357.77
22,1910,401.6
23,1905,417.11
24,1900,423.92
25,1895,446.61
26,1890,429.11
27,1885,442.08
28,1880,446.94
29,1875,441.4
30,1870,425.4
31,1865,404.22
32,1860,415.8
33,1855,418.74
