,Quarter,Real GDP in trillion chained (2012) U.S. dollars
0,Q1 '11,15.71
1,Q2 '11,15.83
2,Q3 '11,15.82
3,Q4 '11,16.0
4,Q1 '12,16.13
5,Q2 '12,16.2
6,Q3 '12,16.22
7,Q4 '12,16.24
8,Q1 '13,16.38
9,Q2 '13,16.4
10,Q3 '13,16.53
11,Q4 '13,16.66
12,Q1 '14,16.62
13,Q2 '14,16.84
14,Q3 '14,17.05
15,Q4 '14,17.14
16,Q1 '15,17.31
17,Q2 '15,17.42
18,Q3 '15,17.49
19,Q4 '15,17.51
20,Q1 '16,17.61
21,Q2 '16,17.67
22,Q3 '16,17.76
23,Q4 '16,17.88
24,Q1 '17,17.98
25,Q2 '17,18.05
26,Q3 '17,18.18
27,Q4 '17,18.36
28,Q1 '18,18.53
29,Q2 '18,18.65
30,Q3 '18,18.75
31,Q4 '18,18.81
32,Q1 '19,18.95
33,Q2 '19,19.02
34,Q3 '19,19.14
35,Q4 '19,19.25
36,Q1 '20,19.01
37,Q2 '20,17.3
38,Q3 '20,18.6
