,Country,"Graduates per 100,000 population"
0,Ireland,24.9
1,Denmark,21.5
2,Lithuania,19.3
3,Slovenia,17.5
4,Latvia,17.4
5,Czech Republic,17.1
6,Slovak Republic,16.9
7,Portugal,16.1
8,Netherlands,16.0
9,Australia,15.5
10,Belgium,14.8
11,Iceland,14.6
12,Spain,14.5
13,Austria,14.4
14,Hungary,14.4
15,Mexico,13.5
16,Italy,13.3
17,OECD36,13.1
18,United Kingdom,12.9
19,Finland,12.0
20,Germany,12.0
21,Estonia,11.5
22,Sweden,11.5
23,Switzerland,11.2
24,Norway,11.1
25,Poland,11.0
26,Turkey,10.6
27,Greece,10.2
28,France,9.5
29,New Zealand,9.1
30,Chile,8.7
31,United States,7.8
32,Canada,7.7
33,Korea,7.6
34,Israel,6.9
35,Japan,6.8
