,Year,Inflation rate compared to previous year
0,2024*,5.5%
1,2023*,5.5%
2,2022*,5.5%
3,2021*,5.96%
4,2020*,7.62%
5,2019*,5.57%
6,2018,3.91%
7,2017,15.11%
8,2016,19.85%
9,2015,3.55%
10,2014,2.56%
11,2013,4.26%
12,2012,2.6%
13,2011,11.17%
14,2010,12.43%
15,2009,3.79%
16,2008,14.5%
17,2007,8.16%
18,2006,13.25%
19,2005,6.43%
20,2004,12.63%
21,2003,13.46%
22,2002,16.77%
23,2001,9.06%
24,2000,12.71%
25,1999,2.87%
26,1998,1.49%
27,1997,7.36%
28,1996,48.49%
29,1995,47.67%
30,1994,63.12%
31,1993,42.26%
32,1992,45.08%
33,1991,33.26%
34,1990,43.72%
35,1989,42.08%
36,1988,58.51%
37,1987,164.12%
38,1986,40.49%
39,1985,30.79%
40,1984,30.04%
