,Year,Inflation rate compared to previous year
0,2024*,2.2%
1,2023*,2.2%
2,2022*,2.2%
3,2021*,2.2%
4,2020*,2.31%
5,2019*,2.55%
6,2018,2.63%
7,2017,1.19%
8,2016,-1.32%
9,2015,-1.07%
10,2014,-1.6%
11,2013,0.39%
12,2012,2.39%
13,2011,3.39%
14,2010,3.04%
15,2009,2.47%
16,2008,11.95%
17,2007,7.57%
18,2006,7.42%
19,2005,6.04%
20,2004,6.15%
21,2003,2.35%
22,2002,5.81%
23,2001,7.36%
24,2000,10.32%
25,1999,2.57%
26,1998,18.68%
27,1997,"1,061.21%"
28,1996,123%
29,1995,62.1%
30,1994,96%
31,1993,72.8%
32,1992,82%
33,1991,333.5%
34,1990,23.9%
35,1989,6.4%
36,1988,2.5%
37,1987,2.7%
38,1986,2.7%
39,1985,2.8%
40,1984,2.8%
