,Country,Number of cases
0,Total,2352621
1,South Africa,903679
2,Morocco,413393
3,Egypt,113898
4,Ethiopia,112367
5,Tunisia,107049
6,Kenya,79073
7,Nigeria,75044
8,Libya,74381
9,Algeria,67808
10,Ghana,53928
11,Cameroon,24892
12,Ivory Coast,21998
13,Namibia,21055
14,Zambia,19083
15,Senegal,17515
16,Madagascar,17298
17,Mozambique,16765
18,Democratic Republic of the Congo,14716
19,Sudan,13524
20,Guinea,13172
21,Mauritania,12136
22,Botswana,12136
23,Uganda,12037
24,Cabo Verde,11580
25,Zimbabwe,11574
26,Angola,11223
27,Gabon,9388
28,Réunion,8706
29,Eswatini,7113
30,Rwanda,6752
31,Congo,5846
32,Djibouti,5741
33,Malawi,5715
34,Burkina Faso,5259
35,Equatorial Guinea,5136
36,Mali,4913
37,Gambia,3669
38,Somalia,3612
39,Togo,3474
40,South Sudan,3131
41,Benin,3061
42,Mayotte,2964
43,Guinea-Bissau,2398
44,Niger,1986
45,Central African Republic,1924
46,Sierra Leone,1910
47,Chad,1720
48,Lesotho,1496
49,Liberia,1406
50,Sao Tome and Principe,981
51,Comros,732
52,Burundi,687
53,Eritrea,676
54,Mauritius,496
55,Seychelles,214
56,Tanzania,183
57,Western Sahara,8
