,Month,Price in GBP per kilogram
0,Nov '19,0.77
1,Oct '19,0.72
2,Sep '19,0.74
3,Aug '19,0.83
4,Jul '19,1.07
5,Jun '19,1.31
6,May '19,1.16
7,Dec '18,0.64
8,Nov '18,0.79
9,Oct '18,0.81
10,Sep '18,0.8
11,Aug '18,0.8
12,Jul '18,0.89
13,Jun '18,0.83
14,May '18,0.88
15,Dec '17,0.67
16,Nov '17,0.59
17,Oct '17,0.58
18,Sep '17,0.6
19,Aug '17,0.62
20,Jul '17,0.64
21,Jun '17,0.82
22,May '17,0.6
23,Apr '17,0.56
24,Dec '16,0.62
25,Nov '16,0.65
26,Oct '16,0.66
27,Sep '16,0.66
28,Aug '16,0.67
29,Jul '16,0.65
30,Jun '16,0.68
31,Dec '15,0.5
32,Nov '15,0.51
33,Oct '15,0.53
34,Sep '15,0.56
35,Aug '15,0.62
36,Jul '15,0.68
37,Jun '15,0.7
38,Dec '14,0.56
39,Nov '14,0.57
40,Oct '14,0.54
41,Sep'14,0.54
42,Aug '14,0.52
43,Jul '14,0.59
44,Jun '14,0.65
