,Response,Percentage of e-commerce sales
0,Q3 '20*,14.3%
1,Q2 '20*,16.1%
2,Q1 '20,11.8%
3,Q4 '19,11.3%
4,Q3 '19,11.1%
5,Q2 '19,10.8%
6,Q1 '19,10.5%
7,Q4 '18,10.1%
8,Q3 '18,10%
9,Q2 '18,9.8%
10,Q1 '18,9.4%
11,Q4 '17,9.1%
12,Q3 '17,9.1%
13,Q2 '17,8.9%
14,Q1 '17,8.5%
15,Q4 '16,8.2%
16,Q3 '16,8.2%
17,Q2 '16,8%
18,Q1 '16,7.8%
19,Q4 '15,7.5%
20,Q3 '15,7.3%
21,Q2 '15,7.1%
22,Q1 '15,6.9%
23,Q4 '14,6.6%
24,Q3 '14,6.5%
25,Q2 '14,6.3%
26,Q1 '14,6.2%
27,Q4 '13,6.1%
28,Q3 '13,5.9%
29,Q2 '13,5.8%
30,Q1 '13,5.6%
31,Q4 '12,5.5%
32,Q3 '12,5.4%
33,Q2 '12,5.3%
34,Q1 '12,5.1%
35,Q4 '11,5.1%
36,Q3 '11,4.9%
37,Q2 '11,4.8%
38,Q1 '11,4.7%
39,Q4 '10,4.6%
40,Q3 '10,4.6%
41,Q2 '10,4.4%
42,Q1 '10,4.2%
