,Year,GDP per capita in U.S. dollars
0,2025*,19365.52
1,2024*,18558.79
2,2023*,17756.52
3,2022*,16368.89
4,2021*,14747.84
5,2020*,14158.57
6,2019*,17195.46
7,2018*,16860.96
8,2017*,15655.23
9,2016*,15556.01
10,2015*,14696.89
11,2014*,14144.12
12,2013*,13646.24
13,2012 *,14006.82
14,2011,13346.77
15,2010,13613.47
16,2009,14616.95
17,2008,16514.08
18,2007,15996.06
19,2006,14264.57
20,2005,12738.0
21,2004,11582.52
22,2003,10893.15
23,2002,10482.37
24,2001,10414.64
25,2000,10981.38
26,1999,10349.51
27,1998,10074.77
28,1997,9678.3
29,1996,9266.49
30,1995,8675.23
31,1994,9097.24
32,1993,8474.02
33,1992,8084.42
34,1991,7927.57
35,1990,7623.41
36,1989,7273.22
37,1988,6547.27
38,1987,5455.28
39,1986,4617.6
40,1985,3764.0
