,Year,Gross domestic product in billion U.S. dollars
0,2024*,25793.42
1,2023*,24881.41
2,2022*,24013.8
3,2021*,23180.28
4,2020*,22321.76
5,2019*,21439.45
6,2018,20580.25
7,2017,19519.4
8,2016,18715.05
9,2015,18224.78
10,2014,17527.28
11,2013,16784.83
12,2012,16197.05
13,2011,15542.6
14,2010,14992.05
15,2009,14448.93
16,2008,14712.83
17,2007,14451.88
18,2006,13814.6
19,2005,13036.63
20,2004,12213.73
21,2003,11458.25
22,2002,10936.45
23,2001,10581.83
24,2000,10252.35
25,1999,9630.7
26,1998,9062.83
27,1997,8577.55
28,1996,8073.13
29,1995,7639.75
30,1994,7287.25
31,1993,6858.55
32,1992,6520.33
33,1991,6158.13
34,1990,5963.13
35,1989,5641.6
36,1988,5236.43
37,1987,4855.25
38,1986,4579.63
39,1985,4339.0
40,1984,4037.65
