,Teams,Kit sponsorship revenue in million GBP
0,Manchester United (Chevrolet),64.0
1,Manchester City (Etihad),45.0
2,Chelsea FC (Yokohama),40.0
3,Liverpool FC (Standard Chartered),40.0
4,Arsenal FC (Fly Emirates),40.0
5,Tottenham Hotspur (AIA),35.0
6,West Ham United (Betway),10.0
7,Everton FC (SportPesa),9.6
8,Wolverhampton Wanderers FC (ManBetX),8.0
9,Southampton FC (LD Sports),7.5
10,Burnley (LoveBet),7.5
11,Crystal Palace (ManBetX),6.5
12,Newcastle United (Fun88),6.5
13,Watford (Sportsbet.io),6.5
14,Aston Villa (W88),6.0
15,AFC Bournemouth (M88),5.0
16,Leicester City (King Power),4.0
17,Sheffield United (USG),3.5
18,Norwich City (Dafabet),3.0
19,Brighton (American Express),1.5
