,Year,GDP per capita in U.S. dollars
0,2025,3296.76
1,2024,2990.52
2,2023,2709.13
3,2022,2451.52
4,2021,2208.5
5,2020,2148.91
6,2019,2229.85
7,2018,2032.73
8,2017,1968.56
9,2016,2176.0
10,2015,2718.59
11,2014,3222.68
12,2013,3042.05
13,2012,2797.86
14,2011,2582.57
15,2010,2365.01
16,2009,1958.58
17,2008,2234.36
18,2007,1822.79
19,2006,1591.33
20,2005,1245.07
21,2004,982.98
22,2003,797.64
23,2002,748.31
24,2001,598.29
25,2000,570.17
26,1999,496.5
27,1998,1861.07
28,1997,1713.38
29,1996,1618.29
30,1995,1273.27
