,Industry,FDI in billion Canadian dollars
0,Management of companies and enterprises,225.76
1,Manufacturing,207.81
2,Mining and oil and gas extraction,188.27
3,Finance and insurance,132.98
4,Wholesale trade,86.07
5,Retail trade,35.0
6,"Professional, scientific and technical services",19.65
7,Real estate and rental and leasing,15.51
8,Information and cultural industries,14.31
9,Transportation and warehousing,14.11
10,Utilities,9.76
11,Construction,5.38
12,Accommodation and food services,5.24
13,"Agriculture,forestry, fishing and hunting",0.74
14,All other industries,13.3
