,discount store,Number of product references
0,Vivi Verde Coop,604
1,"Inaturale Bio, Inaturale Zerotre Bio - Iper",371
2,Carrefour Bio,308
3,Esselunga Bio,300
4,Scelta Verde Biologico - Despar,248
5,Auchan Bio,210
6,Bio Pam & Panorama,202
7,Via Verde Bio Primia - Agora' Network,200
8,Verso Natura Bio,170
9,"Natura Chiama Selex, La Natura Vale - Selex",160
10,Il Viaggiator Goloso - Unes,146
11,Crai Bio,100
12,Bio - In's Mercato,80
13,Bio - MD,74
14,Biodi' - Tuodi',74
15,Bennet Bio,60
16,Bio - d.it,44
17,Other brands - Todis,41
18,Bio Organic - Lidl,40
19,Végé - Végé,37
20,Bio - Italy Discount,30
21,Amo Essere Biologico - Eurospin,30
