,hospital,Number of beds
0,"New York-Presbyterian University Hospital of Columbia and Cornell (New York, NY)",2381
1,"Cleveland Clinic (Cleveland, OH)",1280
2,"Mayo Clinic (Rochester, MN)",1263
3,"Mount Sinai Hospital (New York, NY)",1175
4,"Massachusetts General Hospital (Boston, MA)",1016
5,"University of Michigan Hospitals and Health Centers (Ann Arbor, MI)",993
6,"John Hopkins Hospital (Baltimore, MD)",977
7,"Cedars-Sinai Medical Center (Los Angeles, CA)",885
8,"Northwestern Memorial Hospital (Chicago, IL)",871
9,"Penn Presbyterian Medical Center (Philadelphia, PA)",354
