,Response,Percentage of physicians
0,Oncology,67%
1,Emergency medicine,67%
2,Radiology,67%
3,Psychiatry,66%
4,Otolaryngology,66%
5,Public health/preventive medicine,65%
6,Dermatology,65%
7,Pathology,62%
8,Cardiology,61%
9,Anesthesiology,60%
10,Physical medicine/rehabilitation,60%
11,Orthopedics,60%
12,Critical care,59%
13,General surgery,58%
14,Allergy /immunology,56%
15,Rheumatology,55%
16,Plastic surgery,55%
17,Family medicine,54%
18,Ophthalmology,54%
19,Pediatrics,53%
20,Neurology,53%
21,Internal medicine,52%
22,Gastroenterology,52%
23,Infectious disease,51%
24,Obstetricians/gynecologists,51%
25,Pulmonary medicine,50%
26,Urology,49%
27,Diabetes/endocrinology,49%
28,Nephrology,44%
