,Industry,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,262486
1,Manufacturing,186802
2,Finance and insurance,144871
3,Construction,138309
4,Health care and social assistance,134997
5,Public administration,134948
6,"Mining, quarrying, and oil and gas extraction",134062
7,"Professional, scientific and technical services",119450
8,Wholesale trade,103647
9,Retail trade,102858
10,Educational services,102572
11,Transportation and warehousing,70825
12,Information and cultural industries,64593
13,"Administrative and support, waste management and remediation services",46789
14,"Agriculture, forestry, fishing and hunting",46418
15,Utilities,42068
16,Other services (except public administration),35215
17,Accommodation and food services,29814
18,"Arts, entertainment and recreation",9092
19,Management of companies and enterprises,6435
