,Month,Units sold
0,Dec 19,6123
1,Nov 19,4651
2,Oct 19,3367
3,Sep 19,12691
4,Aug 19,1819
5,Jul 19,2983
6,Jun 19,8662
7,May 19,3952
8,Apr 19,2502
9,Mar 19,12992
10,Feb 19,1891
11,Jan 19,3251
12,Dec 18,7211
13,Nov 18,5269
14,Oct 18,5116
15,Sep 18,10082
16,Aug 18,1867
17,Jul 18,3351
18,Jun 18,8176
19,May 18,5094
20,Apr 18,3846
21,Mar 18,12352
22,Feb 18,1786
23,Jan 18,2871
24,Dec 17,7127
25,Nov 17,6094
26,Oct 17,3144
27,Sep 17,12282
28,Aug 17,1524
29,Jul 17,3007
30,Jun 17,9015
31,May 17,4972
32,Apr 17,3734
33,Mar 17,12942
34,Feb 17,2045
35,Jan 17,2280
36,Dec 16,7383
37,Nov 16,5093
38,Oct 16,4792
39,Sep 16,13119
40,Aug 16,1608
41,Jul 16,3026
