,State,Unemployment rate
0,Alaska,6.6%
1,District of Columbia,5.6%
2,West Virginia,5.3%
3,New Mexico,4.9%
4,Louisiana,4.9%
5,Arizona,4.8%
6,Mississippi,4.8%
7,Nevada,4.6%
8,Ohio,4.6%
9,Washington,4.5%
10,Illinois,4.3%
11,Kentucky,4.3%
12,Pennsylvania,4.3%
13,Oregon,4.2%
14,California,4.2%
15,Connecticut,4.1%
16,Michigan,4.1%
17,New Jersey,4.1%
18,New York,4.1%
19,Rhode Island,4.1%
20,Wyoming,4.1%
21,Maryland,3.9%
22,Texas,3.9%
23,Alabama,3.9%
24,North Carolina,3.9%
25,Georgia,3.9%
26,Delaware,3.8%
27,Arkansas,3.7%
28,Montana,3.7%
29,Florida,3.6%
30,Tennessee,3.5%
31,Maine,3.4%
32,Oklahoma,3.4%
33,South Carolina,3.4%
34,Kansas,3.4%
35,Indiana,3.4%
36,Colorado,3.3%
37,Massachusetts,3.3%
38,Missouri,3.2%
39,Utah,3.1%
40,South Dakota,3%
41,Virginia,3%
42,Wisconsin,3%
43,Minnesota,2.9%
44,Idaho,2.8%
45,Nebraska,2.8%
46,Vermont,2.7%
47,North Dakota,2.6%
48,New Hampshire,2.5%
49,Iowa,2.5%
50,Hawaii,2.4%
