,Month,Daily change
0,Jun 29,0.57%
1,Jun 26,-1.89%
2,Jun 25,0.51%
3,Jun 24,-2.29%
4,Jun 23,1.61%
5,Jun 22,-0.6%
6,Jun 19,0.67%
7,Jun 18,0.45%
8,Jun 17,-0.57%
9,Jun 16,3.25%
10,Jun 15,-2.65%
11,Jun 12,-2.84%
12,Jun 10,0.3%
13,Jun 9,-0.31%
14,Jun 8,-0.07%
15,Jun 5,3.13%
16,Jun 4,1.12%
17,Jun 3,1.76%
18,Jun 2,0.16%
19,Jun 1,0.63%
20,May 29,0.24%
21,May 28,0.64%
22,May 27,-0.12%
23,May 26,3.95%
24,May 25,0.88%
25,May 22,-0.45%
26,May 21,-0.9%
27,May 20,0.76%
28,May 19,0.07%
29,May 18,4.23%
30,May 15,-0.42%
31,May 14,-2.18%
32,May 13,-0.5%
33,May 12,2.22%
34,May 11,-1.19%
35,May 8,1.21%
36,May 7,1.24%
37,May 6,-1.93%
38,May 5,-0.11%
39,May 4,-2.91%
40,Apr 30,-0.16%
41,Apr 29,3.58%
42,Apr 28,0.14%
43,Apr 27,-0.62%
44,Apr 24,-1.49%
45,Apr 23,1.31%
46,Apr 22,2.01%
47,Apr 21,-4.06%
48,Apr 20,0.89%
49,Apr 17,1.73%
50,Apr 16,-0.52%
51,Apr 15,-3.38%
52,Apr 14,2.89%
53,Apr 9,2.31%
54,Apr 8,-1.52%
55,Apr 7,1.42%
56,Apr 6,4.95%
57,Apr 3,1%
58,Apr 2,0.62%
59,Apr 1,-2.1%
60,Mar 31,2.38%
61,Mar 30,0.12%
62,Mar 27,-1.08%
63,Mar 26,3.48%
64,Mar 25,-0.63%
65,Mar 24,3.24%
66,Mar 23,-5.57%
67,Mar 20,1.29%
68,Mar 19,4.86%
69,Mar 18,-1.96%
70,Mar 17,6.54%
71,Mar 16,-1.79%
72,Mar 13,4.61%
73,Mar 12,-13.28%
74,Mar 11,-5.87%
75,Mar 10,-1.63%
76,Mar 9,-7.87%
77,Mar 6,-3.18%
78,Mar 5,-2.05%
79,Mar 4,-1.52%
80,Mar 3,4.53%
81,Mar 2,2.19%
82,Feb 28,-4.41%
83,Feb 27,-4.29%
84,Feb 26,-0.63%
85,Feb 25,-2.76%
86,Feb 24,-4.2%
87,Feb 21,-0.54%
88,Feb 20,-0.72%
89,Feb 19,0.08%
90,Feb 18,-0.36%
91,Feb 17,0.28%
92,Feb 14,-0.23%
93,Feb 13,-0.29%
94,Feb 12,0.9%
95,Feb 11,0.69%
96,Feb 10,-0.82%
97,Feb 7,-0.07%
98,Feb 6,-0.53%
99,Feb 5,0.77%
100,Feb 4,1.63%
101,Feb 3,0.34%
102,Jan 31,-0.68%
103,Jan 30,-0.87%
104,Jan 29,0.01%
105,Jan 28,0.68%
106,Jan 27,-3.27%
107,Jan 24,0.27%
108,Jan 23,0.09%
109,Jan 22,-0.53%
110,Jan 21,-0.92%
111,Jan 20,0.1%
