,Natural Disasters,Death toll
0,"Earthquake, tsunami(Thailand*, December 26, 2004)",220000
1,"Earthquake(Haiti, January 12, 2010)",159000
2,"Cyclone Nargis, storm surge(Myanmar, May 2-5, 2008)",140000
3,"Tropical cyclone, storm surge(Bangladesh, April 29-30, 1991)",139000
4,"Earthquake(Pakistan**, October 8, 2005)",88000
5,"Earthquake(China, May 12, 2008)",84000
6,"Heat wave, drought(Central Europe***, July-August 2003)",70000
7,"Heat wave(Russia, July-September 2010)",56000
8,"Earthquake(Iran, June 20, 1990)",40000
9,"Earthquake(Iran, December 26, 2003)",26200
