,Year,Inflation rate compared to previous year
0,2025*,2.02%
1,2024*,2.02%
2,2023*,2.02%
3,2022*,2.02%
4,2021*,2.74%
5,2020*,0.37%
6,2019,1.31%
7,2018,1.37%
8,2017,2.27%
9,2016,0.8%
10,2015,1.89%
11,2014,2.12%
12,2013,3.8%
13,2012,10.89%
14,2011,11.26%
15,2010,6.16%
16,2009,4.55%
17,2008,12.03%
18,2007,6.8%
19,2006,3.5%
20,2005,2.46%
21,2004,6.34%
22,2003,-2.8%
23,2002,0.93%
24,2001,0.67%
25,2000,-1.18%
26,1999,2.96%
27,1998,-1.41%
28,1997,7.58%
29,1996,6.24%
30,1995,5.49%
31,1994,3.39%
32,1993,20.13%
33,1992,16.86%
34,1991,12.5%
35,1990,15.54%
36,1989,7.16%
37,1988,6.48%
38,1987,11.7%
39,1986,9.1%
40,1985,-9.16%
