,Nuclear Plant,INES scale 1 to 7
0,"Fukushima Daiichi (Japan, 2011)",7
1,"Chernobyl (Ukraine, 1986)",7
2,"Mayak (Kyshtym, Russia, 1957)",6
3,"Three Mile Island (Middletown, USA, 1979)",5
4,"Windscale Pile (Seascale, UK, 1957)",5
5,"Tokai (Japan, 1999)",4
6,"Saint-Laurent (Saint-Laurent-Nouan, France, 1980)",4
7,"Sellafield (Seascale, UK, 2005)",3
8,"Vandellos (Spain, 1989)",3
9,"Forsmark (Sweden, 2006)",2
10,"Atucha (Zarate, Argentina, 2005)",2
11,"Cadarache (Saint-Paul-les-Durance, France, 1993)",2
