,Month,Number of viewers in thousands
0,November 2020,56.91
1,October 2020,45.06
2,September 2020,52.93
3,August 2020,51.42
4,July 2020,48.29
5,June 2020,57.23
6,May 2020,68.77
7,April 2020,75.71
8,March 2020,56.29
9,February 2020,50.36
10,January 2020,59.26
11,December 2019,46.05
12,November 2019,48.4
13,October 2019,40.41
14,September 2019,35.93
15,August 2019,95.32
16,July 2019,55.06
17,June 2019,59.72
18,May 2019,62.78
19,April 2019,41.03
20,March 2019,67.5
21,February 2019,74.88
22,January 2019,62.54
23,December 2018,44.29
24,November 2018,64.06
25,October 2018,47.34
26,September 2018,41.31
27,August 2018,93.97
28,July 2018,38.96
29,June 2018,66.8
30,May 2018,52.55
31,April 2018,55.83
32,March 2018,53.63
33,February 2018,49.0
34,January 2018,41.6
