,Accounting firm,Number of partners
0,Deloitte,5492
1,PwC,3500
2,Ernst & Young,3500
3,KPMG,2213
4,RSM US,825
5,CliftonLarsonAllen,785
6,Grant Thornton,623
7,BDO USA,576
8,CBIZ / Mayer Hoffman McCann,440
9,Moss Adams,341
10,Crowe Horwath,323
11,"Carr, Riggs & Ingram",296
12,Baker Tilly Virchow Krause,282
13,BKD,279
14,Plante Moran,274
15,Eide Bailly,260
16,CohnReznick,258
17,Wipfli,253
18,Marcum,239
19,Dixon Hughes Goodman,235
20,Citrin Cooperman & Co.,220
21,EisnerAmper,170
22,Withum,133
23,Armanino,109
24,Mazars USA**,103
