,Year,Inflation rate compared to previous year
0,2025*,2.91%
1,2024*,2.81%
2,2023*,2.68%
3,2022*,2.52%
4,2021*,2.1%
5,2020*,2.44%
6,2019,3.52%
7,2018,3.24%
8,2017,4.31%
9,2016,7.51%
10,2015,4.99%
11,2014,2.91%
12,2013,2.02%
13,2012,3.17%
14,2011,3.42%
15,2010,2.27%
16,2009,4.2%
17,2008,7%
18,2007,5.55%
19,2006,4.3%
20,2005,5.05%
21,2004,5.91%
22,2003,7.12%
23,2002,6.35%
24,2001,7.96%
25,2000,9.22%
26,1999,18.88%
27,1998,18.65%
28,1997,18.48%
29,1996,20.8%
30,1995,20.88%
31,1994,22.85%
32,1993,22.45%
33,1992,27.02%
34,1991,30.32%
35,1990,29.12%
36,1989,25.94%
37,1988,28.1%
38,1987,23.33%
39,1986,18.85%
40,1985,23.91%
