,State,"New cases per 100,000 population"
0,Mississippi,0.2
1,Nevada,1.2
2,Louisiana,1.4
3,West Virginia,1.4
4,Florida,1.6
5,District of Columbia,1.6
6,South Dakota,1.6
7,Delaware,1.6
8,Georgia,1.8
9,Montana,2.0
10,Tennessee,2.1
11,Maryland,2.2
12,Arkansas,2.3
13,Virginia,2.7
14,Connecticut,2.7
15,South Carolina,2.7
16,Indiana,2.7
17,North Carolina,2.9
18,Massachusetts,3.0
19,Alabama,3.6
20,Wyoming,3.6
21,Hawaii,3.8
22,California,3.8
23,Michigan,4.2
24,Arizona,4.2
25,New Hampshire,4.5
26,Texas,4.6
27,Oregon,4.7
28,Oklahoma,4.7
29,New York,4.9
30,Idaho,4.9
31,Iowa,5.1
32,Kansas,5.5
33,United States,5.6
34,North Dakota,5.8
35,Missouri,5.9
36,New Jersey,6.3
37,New Mexico,7.7
38,Nebraska,8.0
39,Illinois,8.1
40,Washington,8.5
41,Rhode Island,8.6
42,Ohio,8.6
43,Utah,8.7
44,Kentucky,10.4
45,Pennsylvania,12.4
46,Colorado,12.9
47,Minnesota,18.4
48,Maine,19.5
49,Alaska,21.3
50,Wisconsin,25.0
51,Vermont,46.5
