,Cause of death,Number of deaths
0,Diseases of the circulatory system,28195
1,Neoplasms,23453
2,Diseases of the respiratory system,6154
3,Mental and behavioural disorders,6510
4,Diseases of the nervous system,5685
5,External causes of morbidity and mortality (injuries and poisonings),4884
6,Diseases of the digestive system,2931
7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3445
8,"Endocrine, nutritional and metabolic diseases",2737
9,Certain infectious and parasitic diseases,2110
10,Diseases of the genitourinary system,1362
11,Poisoning with medicine and narcotics,949
12,Diseases of the musculoskeletal system and connective tissue,456
13,"Congenital malformations, deformations and chromosomal abnormalities",261
14,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,302
15,Diseases of the skin and subcutaneous tissue,201
16,Certain conditions originating in the perinatal period,124
17,"Pregnancy, childbirth and the puerperium",4
18,Diseases of the ear and mastoid process,6
19,Diseases of the eye and adnexa,2
