,Nhl Team,Fan Cost Index in U.S. dollars
0,Toronto Maple Leafs**,572.58
1,Boston Bruins,509.8
2,New York Rangers,479.48
3,Chicago Blackhawks,463.2
4,Vancouver Canucks**,456.35
5,Winnipeg Jets**,413.04
6,Washington Capitals,411.94
7,Montreal Canadians**,410.04
8,Edmonton Oilers**,393.75
9,Pittsburgh Pinguins,390.84
10,Philadelphia Flyers,386.11
11,Los Angeles Kings,384.99
12,Minnesota Wild,383.25
13,NHL Average,363.58
14,Calgary Flames**,352.12
15,San Jose Sharks,344.42
16,Nashville Predators,343.14
17,Carolina Hurricanes,341.17
18,St. Louis Blues,327.32
19,New Jersey Devils,313.85
20,Detroit Red Wings,307.54
21,New York Islanders,299.59
22,Ottawa Senators**,296.19
23,Colorado Avalanche,295.64
24,Buffalo Sabres,290.9
25,Anaheim Ducks,288.88
26,Columbus Blue Jackets,288.62
27,Tampa Bay Lightning,281.02
28,Dallas Stars,263.11
29,Florida Panthers,255.55
