,Year,Population in thousands
0,2020,1326.54
1,2019,1325.65
2,2018,1322.91
3,2017,1319.39
4,2016,1316.51
5,2015,1315.33
6,2014,1316.27
7,2013,1319.07
8,2012,1323.16
9,2011,1327.7
10,2010,1332.1
11,2009,1336.14
12,2008,1340.07
13,2007,1344.3
14,2006,1349.37
15,2005,1355.65
16,2004,1363.57
17,2003,1372.9
18,2002,1382.74
19,2001,1391.74
20,2000,1399.11
21,1999,1403.78
22,1998,1406.35
23,1997,1409.68
24,1996,1417.74
25,1995,1433.03
26,1994,1457.09
27,1993,1488.06
28,1992,1520.81
29,1991,1548.22
30,1990,1565.25
31,1989,1569.97
32,1988,1564.2
33,1987,1551.21
34,1986,1536.03
35,1985,1522.41
36,1984,1511.19
37,1983,1501.42
38,1982,1492.64
39,1981,1483.88
40,1980,1474.44
41,1979,1464.42
42,1978,1454.27
43,1977,1443.89
44,1976,1433.17
45,1975,1422.05
46,1974,1410.47
47,1973,1398.47
48,1972,1386.07
49,1971,1373.3
50,1970,1360.21
51,1969,1346.82
52,1968,1333.17
53,1967,1319.25
54,1966,1304.98
55,1965,1290.41
56,1964,1275.44
57,1963,1260.22
58,1962,1245.08
59,1961,1230.5
60,1960,1216.82
61,1959,1204.11
62,1958,1192.26
63,1957,1181.02
64,1956,1170.09
65,1955,1159.23
66,1954,1148.21
67,1953,1136.91
68,1952,1125.24
69,1951,1113.24
70,1950,1100.0
71,1949,1100.0
72,1948,1100.0
73,1947,1100.0
74,1946,1100.0
75,1945,1110.0
76,1944,1110.0
77,1943,1110.0
78,1942,1110.0
79,1941,1120.0
80,1940,1120.0
81,1939,1120.0
82,1938,1120.0
83,1937,1120.0
84,1936,1120.0
85,1935,1120.0
86,1934,1120.0
87,1933,1120.0
88,1932,1120.0
89,1931,1120.0
90,1930,1120.0
91,1929,1120.0
92,1928,1120.0
93,1927,1120.0
94,1926,1120.0
95,1925,1120.0
96,1924,1120.0
97,1923,1110.0
98,1922,1110.0
99,1921,1110.0
100,1920,1100.0
101,1919,1100.0
102,1918,1090.0
103,1917,1070.0
104,1916,1060.0
105,1915,1050.0
106,1914,1030.0
107,1913,1020.0
108,1912,1010.0
109,1911,996.0
110,1910,984.0
111,1909,972.0
112,1908,961.0
113,1907,949.0
114,1906,938.0
115,1905,927.0
116,1904,916.0
117,1903,905.0
118,1902,894.0
119,1901,883.0
120,1900,873.0
121,1899,862.0
122,1898,852.0
123,1897,842.0
124,1896,832.0
125,1895,822.0
126,1894,812.0
127,1893,803.0
128,1892,793.0
129,1891,784.0
130,1890,774.0
131,1889,765.0
132,1888,756.0
133,1887,747.0
134,1886,738.0
135,1885,729.0
136,1884,720.0
137,1883,712.0
138,1882,703.0
139,1881,695.0
140,1880,687.0
141,1879,679.0
142,1878,670.0
143,1877,662.0
144,1876,655.0
145,1875,647.0
146,1874,639.0
147,1873,631.0
148,1872,624.0
149,1871,617.0
150,1870,609.0
151,1869,602.0
152,1868,595.0
153,1867,588.0
154,1866,581.0
155,1865,574.0
156,1864,567.0
157,1863,560.0
158,1862,553.0
159,1861,547.0
160,1860,540.0
161,1859,534.0
162,1858,528.0
163,1857,521.0
164,1856,515.0
165,1855,509.0
166,1854,503.0
167,1853,497.0
168,1852,491.0
169,1851,485.0
170,1850,479.0
171,1849,474.0
172,1848,468.0
173,1847,462.0
174,1846,457.0
175,1845,451.0
176,1844,446.0
177,1843,441.0
178,1842,435.0
179,1841,430.0
180,1840,425.0
181,1839,420.0
182,1838,415.0
183,1837,410.0
184,1836,405.0
185,1835,400.0
186,1834,395.0
187,1833,391.0
188,1832,386.0
189,1831,381.0
190,1830,377.0
191,1829,372.0
192,1828,368.0
193,1827,364.0
194,1826,359.0
195,1825,355.0
196,1824,351.0
197,1823,346.0
198,1822,342.0
199,1821,339.0
200,1820,337.0
201,1819,335.0
202,1818,334.0
203,1817,334.0
204,1816,334.0
205,1815,334.0
206,1814,334.0
207,1813,334.0
208,1812,334.0
209,1811,334.0
210,1810,334.0
211,1809,334.0
212,1808,334.0
213,1807,334.0
214,1806,334.0
215,1805,334.0
216,1804,334.0
217,1803,334.0
218,1802,334.0
219,1801,334.0
220,1800,334.0
