,Country,2019,2024*
0,Venezuela,44.3%,56%
1,Nicaragua,23.4%,12.5%
2,Brazil,11.4%,9%
3,Puerto Rico,11%,11.4%
4,Jamaica,11%,8.6%
5,Barbados,10.4%,9.3%
6,Belize,10.1%,13.7%
7,Argentina,9.9%,8.8%
8,Colombia,9.7%,9%
9,Costa Rica,9.7%,9.3%
10,Bahamas,9%,8.6%
11,Uruguay,8.1%,7.4%
12,El Salvador,6.7%,6.9%
13,Peru,6.6%,6.5%
14,Chile,6.5%,6%
15,Panama,6.1%,6%
16,Paraguay,5.7%,5.8%
17,Dominican Republic,5.2%,5.2%
18,Trinidad and Tobago,4.8%,4.4%
19,Ecuador,4.3%,4.5%
20,Bolivia,4%,4%
21,Mexico,3.5%,3.4%
22,Honduras,3.4%,3.7%
